zone,day_of_week,hour,is_weekday,is_rush_hour,congestion_score,congestion_level,pollution_score,pollution_level,infra_score,infra_level
MG Road,0,10,1,1,1.0,high,0.703,high,0.71,high
Whitefield,0,10,1,1,0.923,high,0.687,high,0.226,low
Koramangala,0,10,1,1,0.545,medium,0.163,low,0.436,medium
Electronic City,0,10,1,1,1.0,high,0.728,high,0.479,medium
Indiranagar,0,10,1,1,0.904,high,0.704,high,0.511,medium
MG Road,0,11,1,0,0.683,high,0.478,medium,0.752,high
Whitefield,0,11,1,0,0.736,high,0.572,medium,0.371,medium
Koramangala,0,11,1,0,0.471,medium,0.284,low,0.312,medium
Electronic City,0,11,1,0,0.578,medium,0.415,medium,0.343,medium
Indiranagar,0,11,1,0,0.608,medium,0.195,low,0.535,medium
MG Road,0,12,1,0,0.606,medium,0.533,medium,0.594,medium
Whitefield,0,12,1,0,0.578,medium,0.461,medium,0.283,low
Koramangala,0,12,1,0,0.406,medium,0.364,medium,0.053,low
Electronic City,0,12,1,0,0.714,high,0.498,medium,0.441,medium
Indiranagar,0,12,1,0,0.717,high,0.389,medium,0.5,medium
MG Road,0,13,1,0,0.647,medium,0.604,high,0.534,medium
Whitefield,0,13,1,0,0.565,medium,0.39,medium,0.44,medium
Koramangala,0,13,1,0,0.428,medium,0.564,medium,0.417,medium
Electronic City,0,13,1,0,0.713,high,0.443,medium,0.421,medium
Indiranagar,0,13,1,0,0.48,medium,0.34,medium,0.545,medium
MG Road,0,14,1,0,0.751,high,0.445,medium,0.752,high
Whitefield,0,14,1,0,0.486,medium,0.133,low,0.229,low
Koramangala,0,14,1,0,0.277,low,0.232,low,0.275,low
Electronic City,0,14,1,0,0.732,high,0.628,high,0.399,medium
Indiranagar,0,14,1,0,0.662,high,0.615,high,0.494,medium
MG Road,0,15,1,0,0.859,high,0.577,medium,0.736,high
Whitefield,0,15,1,0,0.474,medium,0.167,low,0.301,medium
Koramangala,0,15,1,0,0.329,low,0.179,low,0.31,medium
Electronic City,0,15,1,0,0.808,high,0.525,medium,0.416,medium
Indiranagar,0,15,1,0,0.572,medium,0.323,medium,0.41,medium
MG Road,0,16,1,0,0.671,high,0.477,medium,0.512,medium
Whitefield,0,16,1,0,0.677,high,0.329,medium,0.367,medium
Koramangala,0,16,1,0,0.545,medium,0.288,low,0.394,medium
Electronic City,0,16,1,0,0.653,high,0.322,medium,0.591,medium
Indiranagar,0,16,1,0,0.614,medium,0.443,medium,0.351,medium
MG Road,0,17,1,1,1.0,high,0.816,high,0.815,high
Whitefield,0,17,1,1,0.903,high,0.519,medium,0.543,medium
Koramangala,0,17,1,1,0.703,high,0.313,medium,0.369,medium
Electronic City,0,17,1,1,1.0,high,0.788,high,0.42,medium
Indiranagar,0,17,1,1,0.914,high,0.649,high,0.719,high
MG Road,0,18,1,1,0.999,high,0.764,high,0.784,high
Whitefield,0,18,1,1,0.822,high,0.577,medium,0.414,medium
Koramangala,0,18,1,1,0.782,high,0.535,medium,0.421,medium
Electronic City,0,18,1,1,0.943,high,0.673,high,0.627,high
Indiranagar,0,18,1,1,0.743,high,0.705,high,0.603,high
MG Road,0,19,1,1,1.0,high,0.69,high,0.702,high
Whitefield,0,19,1,1,0.838,high,0.688,high,0.484,medium
Koramangala,0,19,1,1,0.711,high,0.455,medium,0.504,medium
Electronic City,0,19,1,1,0.936,high,0.777,high,0.466,medium
Indiranagar,0,19,1,1,0.824,high,0.545,medium,0.569,medium
MG Road,0,20,1,1,1.0,high,0.668,high,0.839,high
Whitefield,0,20,1,1,0.785,high,0.566,medium,0.386,medium
Koramangala,0,20,1,1,0.684,high,0.477,medium,0.458,medium
Electronic City,0,20,1,1,1.0,high,0.635,high,0.634,high
Indiranagar,0,20,1,1,0.788,high,0.563,medium,0.471,medium
MG Road,0,21,1,0,0.747,high,0.515,medium,0.78,high
Whitefield,0,21,1,0,0.608,medium,0.591,medium,0.415,medium
Koramangala,0,21,1,0,0.369,medium,0.412,medium,0.391,medium
Electronic City,0,21,1,0,0.699,high,0.536,medium,0.425,medium
Indiranagar,0,21,1,0,0.441,medium,0.402,medium,0.561,medium
MG Road,0,22,1,0,0.947,high,0.705,high,0.654,high
Whitefield,0,22,1,0,0.667,high,0.552,medium,0.581,medium
Koramangala,0,22,1,0,0.396,medium,0.261,low,0.287,low
Electronic City,0,22,1,0,0.793,high,0.4,medium,0.57,medium
Indiranagar,0,22,1,0,0.647,medium,0.511,medium,0.548,medium
MG Road,0,23,1,0,0.923,high,0.733,high,0.608,high
Whitefield,0,23,1,0,0.553,medium,0.299,low,0.426,medium
Koramangala,0,23,1,0,0.32,low,0.332,medium,0.46,medium
Electronic City,0,23,1,0,0.68,high,0.457,medium,0.449,medium
Indiranagar,0,23,1,0,0.671,high,0.63,high,0.375,medium
MG Road,1,0,1,0,0.475,medium,0.306,medium,0.35,medium
Whitefield,1,0,1,0,0.261,low,0.226,low,0.227,low
Koramangala,1,0,1,0,0.0,low,0.287,low,0.227,low
Electronic City,1,0,1,0,0.459,medium,0.211,low,0.385,medium
Indiranagar,1,0,1,0,0.287,low,0.012,low,0.283,low
MG Road,1,1,1,0,0.564,medium,0.589,medium,0.562,medium
Whitefield,1,1,1,0,0.388,medium,0.256,low,0.297,low
Koramangala,1,1,1,0,0.187,low,0.297,low,0.405,medium
Electronic City,1,1,1,0,0.365,medium,0.249,low,0.349,medium
Indiranagar,1,1,1,0,0.279,low,0.234,low,0.469,medium
MG Road,1,2,1,0,0.58,medium,0.575,medium,0.499,medium
Whitefield,1,2,1,0,0.191,low,0.169,low,0.415,medium
Koramangala,1,2,1,0,0.062,low,0.112,low,0.294,low
Electronic City,1,2,1,0,0.465,medium,0.326,medium,0.269,low
Indiranagar,1,2,1,0,0.117,low,0.0,low,0.283,low
MG Road,1,3,1,0,0.588,medium,0.401,medium,0.483,medium
Whitefield,1,3,1,0,0.229,low,0.226,low,0.377,medium
Koramangala,1,3,1,0,0.185,low,0.19,low,0.126,low
Electronic City,1,3,1,0,0.422,medium,0.49,medium,0.456,medium
Indiranagar,1,3,1,0,0.177,low,0.118,low,0.382,medium
MG Road,1,4,1,0,0.439,medium,0.076,low,0.485,medium
Whitefield,1,4,1,0,0.237,low,0.088,low,0.209,low
Koramangala,1,4,1,0,0.089,low,0.062,low,0.147,low
Electronic City,1,4,1,0,0.432,medium,0.127,low,0.379,medium
Indiranagar,1,4,1,0,0.071,low,0.021,low,0.396,medium
MG Road,1,5,1,0,0.715,high,0.572,medium,0.702,high
Whitefield,1,5,1,0,0.335,low,0.22,low,0.0,low
Koramangala,1,5,1,0,0.391,medium,0.273,low,0.108,low
Electronic City,1,5,1,0,0.904,high,0.661,high,0.452,medium
Indiranagar,1,5,1,0,0.717,high,0.322,medium,0.439,medium
MG Road,1,6,1,0,0.616,medium,0.611,high,0.58,medium
Whitefield,1,6,1,0,0.653,high,0.487,medium,0.468,medium
Koramangala,1,6,1,0,0.406,medium,0.311,medium,0.373,medium
Electronic City,1,6,1,0,0.701,high,0.486,medium,0.483,medium
Indiranagar,1,6,1,0,0.609,medium,0.278,low,0.384,medium
MG Road,1,7,1,0,0.887,high,0.59,medium,0.713,high
Whitefield,1,7,1,0,0.513,medium,0.212,low,0.271,low
Koramangala,1,7,1,0,0.382,medium,0.201,low,0.482,medium
Electronic City,1,7,1,0,0.764,high,0.72,high,0.521,medium
Indiranagar,1,7,1,0,0.407,medium,0.391,medium,0.287,low
MG Road,1,8,1,1,1.0,high,0.623,high,0.914,high
Whitefield,1,8,1,1,0.965,high,0.601,high,0.523,medium
Koramangala,1,8,1,1,0.67,high,0.555,medium,0.471,medium
Electronic City,1,8,1,1,0.918,high,0.571,medium,0.542,medium
Indiranagar,1,8,1,1,0.949,high,0.707,high,0.577,medium
MG Road,1,9,1,1,1.0,high,0.661,high,0.789,high
Whitefield,1,9,1,1,1.0,high,0.664,high,0.63,high
Koramangala,1,9,1,1,0.59,medium,0.402,medium,0.439,medium
Electronic City,1,9,1,1,0.985,high,0.935,high,0.538,medium
Indiranagar,1,9,1,1,0.897,high,0.435,medium,0.677,high
MG Road,1,10,1,1,1.0,high,0.647,high,0.449,medium
Whitefield,1,10,1,1,0.847,high,0.595,medium,0.561,medium
Koramangala,1,10,1,1,0.811,high,0.53,medium,0.439,medium
Electronic City,1,10,1,1,0.907,high,0.654,high,0.586,medium
Indiranagar,1,10,1,1,0.806,high,0.642,high,0.644,high
MG Road,1,11,1,0,0.803,high,0.472,medium,0.573,medium
Whitefield,1,11,1,0,0.406,medium,0.308,medium,0.315,medium
Koramangala,1,11,1,0,0.415,medium,0.341,medium,0.405,medium
Electronic City,1,11,1,0,0.741,high,0.524,medium,0.331,medium
Indiranagar,1,11,1,0,0.553,medium,0.392,medium,0.423,medium
MG Road,1,12,1,0,0.869,high,0.542,medium,0.669,high
Whitefield,1,12,1,0,0.609,medium,0.501,medium,0.484,medium
Koramangala,1,12,1,0,0.456,medium,0.108,low,0.502,medium
Electronic City,1,12,1,0,0.872,high,0.562,medium,0.548,medium
Indiranagar,1,12,1,0,0.529,medium,0.175,low,0.413,medium
MG Road,1,13,1,0,0.757,high,0.494,medium,0.507,medium
Whitefield,1,13,1,0,0.541,medium,0.378,medium,0.29,low
Koramangala,1,13,1,0,0.443,medium,0.379,medium,0.615,high
Electronic City,1,13,1,0,0.84,high,0.612,high,0.449,medium
Indiranagar,1,13,1,0,0.623,medium,0.469,medium,0.473,medium
MG Road,1,14,1,0,0.863,high,0.464,medium,0.621,high
Whitefield,1,14,1,0,0.644,medium,0.422,medium,0.387,medium
Koramangala,1,14,1,0,0.389,medium,0.189,low,0.473,medium
Electronic City,1,14,1,0,0.669,high,0.5,medium,0.484,medium
Indiranagar,1,14,1,0,0.524,medium,0.374,medium,0.394,medium
MG Road,1,15,1,0,0.911,high,0.524,medium,0.599,medium
Whitefield,1,15,1,0,0.502,medium,0.216,low,0.51,medium
Koramangala,1,15,1,0,0.443,medium,0.324,medium,0.312,medium
Electronic City,1,15,1,0,0.823,high,0.493,medium,0.583,medium
Indiranagar,1,15,1,0,0.53,medium,0.307,medium,0.563,medium
MG Road,1,16,1,0,0.869,high,0.668,high,0.543,medium
Whitefield,1,16,1,0,0.564,medium,0.411,medium,0.291,low
Koramangala,1,16,1,0,0.51,medium,0.117,low,0.326,medium
Electronic City,1,16,1,0,0.709,high,0.212,low,0.319,medium
Indiranagar,1,16,1,0,0.65,high,0.458,medium,0.692,high
MG Road,1,17,1,1,1.0,high,0.743,high,0.731,high
Whitefield,1,17,1,1,0.855,high,0.333,medium,0.353,medium
Koramangala,1,17,1,1,0.658,high,0.522,medium,0.492,medium
Electronic City,1,17,1,1,0.929,high,0.744,high,0.695,high
Indiranagar,1,17,1,1,0.925,high,0.746,high,0.589,medium
MG Road,1,18,1,1,1.0,high,0.715,high,0.751,high
Whitefield,1,18,1,1,0.879,high,0.603,high,0.416,medium
Koramangala,1,18,1,1,0.643,medium,0.549,medium,0.413,medium
Electronic City,1,18,1,1,1.0,high,0.774,high,0.545,medium
Indiranagar,1,18,1,1,0.961,high,0.637,high,0.81,high
MG Road,1,19,1,1,1.0,high,0.698,high,0.611,high
Whitefield,1,19,1,1,0.843,high,0.57,medium,0.361,medium
Koramangala,1,19,1,1,0.633,medium,0.362,medium,0.512,medium
Electronic City,1,19,1,1,1.0,high,0.577,medium,0.746,high
Indiranagar,1,19,1,1,0.84,high,0.49,medium,0.687,high
MG Road,1,20,1,1,1.0,high,0.692,high,0.66,high
Whitefield,1,20,1,1,0.785,high,0.622,high,0.435,medium
Koramangala,1,20,1,1,0.535,medium,0.43,medium,0.293,low
Electronic City,1,20,1,1,0.908,high,0.755,high,0.418,medium
Indiranagar,1,20,1,1,0.665,high,0.528,medium,0.51,medium
MG Road,1,21,1,0,0.783,high,0.516,medium,0.636,high
Whitefield,1,21,1,0,0.54,medium,0.525,medium,0.218,low
Koramangala,1,21,1,0,0.436,medium,0.369,medium,0.298,low
Electronic City,1,21,1,0,0.668,high,0.569,medium,0.343,medium
Indiranagar,1,21,1,0,0.551,medium,0.475,medium,0.499,medium
MG Road,1,22,1,0,0.656,high,0.634,high,0.509,medium
Whitefield,1,22,1,0,0.568,medium,0.423,medium,0.44,medium
Koramangala,1,22,1,0,0.557,medium,0.224,low,0.505,medium
Electronic City,1,22,1,0,0.809,high,0.553,medium,0.578,medium
Indiranagar,1,22,1,0,0.675,high,0.334,medium,0.72,high
MG Road,1,23,1,0,0.675,high,0.359,medium,0.544,medium
Whitefield,1,23,1,0,0.754,high,0.497,medium,0.448,medium
Koramangala,1,23,1,0,0.515,medium,0.33,medium,0.288,low
Electronic City,1,23,1,0,0.717,high,0.639,high,0.469,medium
Indiranagar,1,23,1,0,0.754,high,0.602,high,0.512,medium
MG Road,2,0,1,0,0.504,medium,0.268,low,0.435,medium
Whitefield,2,0,1,0,0.658,high,0.563,medium,0.499,medium
Koramangala,2,0,1,0,0.05,low,0.192,low,0.33,medium
Electronic City,2,0,1,0,0.601,medium,0.604,high,0.267,low
Indiranagar,2,0,1,0,0.211,low,0.047,low,0.265,low
MG Road,2,1,1,0,0.526,medium,0.311,medium,0.718,high
Whitefield,2,1,1,0,0.452,medium,0.316,medium,0.526,medium
Koramangala,2,1,1,0,0.219,low,0.108,low,0.087,low
Electronic City,2,1,1,0,0.433,medium,0.238,low,0.369,medium
Indiranagar,2,1,1,0,0.307,low,0.221,low,0.45,medium
MG Road,2,2,1,0,0.403,medium,0.323,medium,0.417,medium
Whitefield,2,2,1,0,0.316,low,0.317,medium,0.154,low
Koramangala,2,2,1,0,0.077,low,0.042,low,0.18,low
Electronic City,2,2,1,0,0.522,medium,0.293,low,0.328,medium
Indiranagar,2,2,1,0,0.243,low,0.279,low,0.323,medium
MG Road,2,3,1,0,0.537,medium,0.573,medium,0.507,medium
Whitefield,2,3,1,0,0.389,medium,0.439,medium,0.408,medium
Koramangala,2,3,1,0,0.099,low,0.133,low,0.111,low
Electronic City,2,3,1,0,0.388,medium,0.211,low,0.554,medium
Indiranagar,2,3,1,0,0.235,low,0.082,low,0.265,low
MG Road,2,4,1,0,0.545,medium,0.396,medium,0.627,high
Whitefield,2,4,1,0,0.354,medium,0.11,low,0.211,low
Koramangala,2,4,1,0,0.209,low,0.126,low,0.402,medium
Electronic City,2,4,1,0,0.438,medium,0.21,low,0.32,medium
Indiranagar,2,4,1,0,0.223,low,0.099,low,0.384,medium
MG Road,2,5,1,0,0.841,high,0.43,medium,0.635,high
Whitefield,2,5,1,0,0.553,medium,0.322,medium,0.384,medium
Koramangala,2,5,1,0,0.356,medium,0.387,medium,0.461,medium
Electronic City,2,5,1,0,0.845,high,0.542,medium,0.417,medium
Indiranagar,2,5,1,0,0.607,medium,0.41,medium,0.457,medium
MG Road,2,6,1,0,0.706,high,0.49,medium,0.542,medium
Whitefield,2,6,1,0,0.655,high,0.525,medium,0.522,medium
Koramangala,2,6,1,0,0.299,low,0.25,low,0.247,low
Electronic City,2,6,1,0,0.652,high,0.414,medium,0.543,medium
Indiranagar,2,6,1,0,0.57,medium,0.556,medium,0.558,medium
MG Road,2,7,1,0,0.768,high,0.654,high,0.652,high
Whitefield,2,7,1,0,0.525,medium,0.554,medium,0.386,medium
Koramangala,2,7,1,0,0.402,medium,0.195,low,0.479,medium
Electronic City,2,7,1,0,0.791,high,0.617,high,0.441,medium
Indiranagar,2,7,1,0,0.667,high,0.558,medium,0.475,medium
MG Road,2,8,1,1,0.937,high,0.714,high,0.517,medium
Whitefield,2,8,1,1,0.862,high,0.559,medium,0.617,high
Koramangala,2,8,1,1,0.619,medium,0.544,medium,0.396,medium
Electronic City,2,8,1,1,1.0,high,0.906,high,0.468,medium
Indiranagar,2,8,1,1,0.873,high,0.886,high,0.631,high
MG Road,2,9,1,1,1.0,high,0.779,high,0.704,high
Whitefield,2,9,1,1,0.713,high,0.613,high,0.235,low
Koramangala,2,9,1,1,0.617,medium,0.552,medium,0.411,medium
Electronic City,2,9,1,1,0.945,high,0.749,high,0.468,medium
Indiranagar,2,9,1,1,0.752,high,0.554,medium,0.558,medium
MG Road,2,10,1,1,0.951,high,0.729,high,0.727,high
Whitefield,2,10,1,1,0.821,high,0.546,medium,0.526,medium
Koramangala,2,10,1,1,0.745,high,0.493,medium,0.564,medium
Electronic City,2,10,1,1,1.0,high,0.788,high,0.579,medium
Indiranagar,2,10,1,1,0.777,high,0.498,medium,0.62,high
MG Road,2,11,1,0,0.945,high,0.613,high,0.759,high
Whitefield,2,11,1,0,0.574,medium,0.413,medium,0.531,medium
Koramangala,2,11,1,0,0.461,medium,0.199,low,0.327,medium
Electronic City,2,11,1,0,0.85,high,0.61,high,0.4,medium
Indiranagar,2,11,1,0,0.534,medium,0.444,medium,0.588,medium
MG Road,2,12,1,0,0.801,high,0.809,high,0.703,high
Whitefield,2,12,1,0,0.581,medium,0.325,medium,0.285,low
Koramangala,2,12,1,0,0.427,medium,0.25,low,0.538,medium
Electronic City,2,12,1,0,0.867,high,0.67,high,0.404,medium
Indiranagar,2,12,1,0,0.546,medium,0.508,medium,0.437,medium
MG Road,2,13,1,0,0.89,high,0.67,high,0.661,high
Whitefield,2,13,1,0,0.544,medium,0.371,medium,0.386,medium
Koramangala,2,13,1,0,0.483,medium,0.249,low,0.367,medium
Electronic City,2,13,1,0,0.754,high,0.594,medium,0.386,medium
Indiranagar,2,13,1,0,0.495,medium,0.414,medium,0.321,medium
MG Road,2,14,1,0,0.903,high,0.616,high,0.506,medium
Whitefield,2,14,1,0,0.562,medium,0.431,medium,0.321,medium
Koramangala,2,14,1,0,0.402,medium,0.355,medium,0.34,medium
Electronic City,2,14,1,0,0.675,high,0.443,medium,0.586,medium
Indiranagar,2,14,1,0,0.735,high,0.312,medium,0.678,high
MG Road,2,15,1,0,0.82,high,0.666,high,0.573,medium
Whitefield,2,15,1,0,0.459,medium,0.379,medium,0.239,low
Koramangala,2,15,1,0,0.289,low,0.07,low,0.376,medium
Electronic City,2,15,1,0,0.761,high,0.611,high,0.546,medium
Indiranagar,2,15,1,0,0.566,medium,0.389,medium,0.45,medium
MG Road,2,16,1,0,0.783,high,0.451,medium,0.652,high
Whitefield,2,16,1,0,0.686,high,0.399,medium,0.553,medium
Koramangala,2,16,1,0,0.409,medium,0.31,medium,0.194,low
Electronic City,2,16,1,0,0.605,medium,0.438,medium,0.496,medium
Indiranagar,2,16,1,0,0.546,medium,0.549,medium,0.567,medium
MG Road,2,17,1,1,0.977,high,0.687,high,0.939,high
Whitefield,2,17,1,1,0.751,high,0.578,medium,0.418,medium
Koramangala,2,17,1,1,0.707,high,0.621,high,0.444,medium
Electronic City,2,17,1,1,1.0,high,0.922,high,0.582,medium
Indiranagar,2,17,1,1,0.913,high,0.58,medium,0.642,high
MG Road,2,18,1,1,1.0,high,0.78,high,0.82,high
Whitefield,2,18,1,1,0.841,high,0.742,high,0.639,high
Koramangala,2,18,1,1,0.718,high,0.451,medium,0.426,medium
Electronic City,2,18,1,1,0.935,high,0.749,high,0.428,medium
Indiranagar,2,18,1,1,0.904,high,0.525,medium,0.719,high
MG Road,2,19,1,1,1.0,high,0.833,high,0.814,high
Whitefield,2,19,1,1,0.965,high,0.821,high,0.55,medium
Koramangala,2,19,1,1,0.557,medium,0.285,low,0.214,low
Electronic City,2,19,1,1,0.913,high,0.646,high,0.484,medium
Indiranagar,2,19,1,1,0.836,high,0.634,high,0.579,medium
MG Road,2,20,1,1,0.96,high,0.667,high,0.594,medium
Whitefield,2,20,1,1,0.828,high,0.714,high,0.454,medium
Koramangala,2,20,1,1,0.792,high,0.697,high,0.459,medium
Electronic City,2,20,1,1,0.911,high,0.633,high,0.655,high
Indiranagar,2,20,1,1,0.811,high,0.658,high,0.72,high
MG Road,2,21,1,0,0.738,high,0.449,medium,0.666,high
Whitefield,2,21,1,0,0.612,medium,0.36,medium,0.36,medium
Koramangala,2,21,1,0,0.394,medium,0.12,low,0.434,medium
Electronic City,2,21,1,0,0.712,high,0.22,low,0.457,medium
Indiranagar,2,21,1,0,0.541,medium,0.547,medium,0.433,medium
MG Road,2,22,1,0,0.712,high,0.549,medium,0.519,medium
Whitefield,2,22,1,0,0.538,medium,0.427,medium,0.261,low
Koramangala,2,22,1,0,0.283,low,0.371,medium,0.371,medium
Electronic City,2,22,1,0,0.729,high,0.51,medium,0.517,medium
Indiranagar,2,22,1,0,0.678,high,0.399,medium,0.583,medium
MG Road,2,23,1,0,0.759,high,0.513,medium,0.62,high
Whitefield,2,23,1,0,0.599,medium,0.493,medium,0.438,medium
Koramangala,2,23,1,0,0.279,low,0.06,low,0.275,low
Electronic City,2,23,1,0,0.896,high,0.542,medium,0.513,medium
Indiranagar,2,23,1,0,0.557,medium,0.335,medium,0.516,medium
MG Road,3,0,1,0,0.612,medium,0.474,medium,0.464,medium
Whitefield,3,0,1,0,0.52,medium,0.372,medium,0.3,medium
Koramangala,3,0,1,0,0.213,low,0.102,low,0.451,medium
Electronic City,3,0,1,0,0.38,medium,0.409,medium,0.347,medium
Indiranagar,3,0,1,0,0.403,medium,0.472,medium,0.323,medium
MG Road,3,1,1,0,0.602,medium,0.281,low,0.436,medium
Whitefield,3,1,1,0,0.236,low,0.215,low,0.248,low
Koramangala,3,1,1,0,0.087,low,0.075,low,0.294,low
Electronic City,3,1,1,0,0.503,medium,0.462,medium,0.558,medium
Indiranagar,3,1,1,0,0.298,low,0.157,low,0.456,medium
MG Road,3,2,1,0,0.408,medium,0.218,low,0.563,medium
Whitefield,3,2,1,0,0.29,low,0.082,low,0.117,low
Koramangala,3,2,1,0,0.104,low,0.187,low,0.354,medium
Electronic City,3,2,1,0,0.459,medium,0.522,medium,0.348,medium
Indiranagar,3,2,1,0,0.289,low,0.0,low,0.346,medium
MG Road,3,3,1,0,0.568,medium,0.554,medium,0.444,medium
Whitefield,3,3,1,0,0.337,low,0.341,medium,0.286,low
Koramangala,3,3,1,0,0.0,low,0.025,low,0.276,low
Electronic City,3,3,1,0,0.374,medium,0.237,low,0.209,low
Indiranagar,3,3,1,0,0.094,low,0.169,low,0.312,medium
MG Road,3,4,1,0,0.628,medium,0.525,medium,0.516,medium
Whitefield,3,4,1,0,0.293,low,0.262,low,0.364,medium
Koramangala,3,4,1,0,0.126,low,0.199,low,0.221,low
Electronic City,3,4,1,0,0.37,medium,0.253,low,0.344,medium
Indiranagar,3,4,1,0,0.204,low,0.009,low,0.401,medium
MG Road,3,5,1,0,0.767,high,0.521,medium,0.571,medium
Whitefield,3,5,1,0,0.722,high,0.631,high,0.315,medium
Koramangala,3,5,1,0,0.357,medium,0.335,medium,0.403,medium
Electronic City,3,5,1,0,0.747,high,0.409,medium,0.405,medium
Indiranagar,3,5,1,0,0.559,medium,0.419,medium,0.669,high
MG Road,3,6,1,0,0.745,high,0.419,medium,0.587,medium
Whitefield,3,6,1,0,0.683,high,0.333,medium,0.568,medium
Koramangala,3,6,1,0,0.386,medium,0.197,low,0.194,low
Electronic City,3,6,1,0,0.807,high,0.547,medium,0.515,medium
Indiranagar,3,6,1,0,0.528,medium,0.338,medium,0.438,medium
MG Road,3,7,1,0,0.792,high,0.487,medium,0.463,medium
Whitefield,3,7,1,0,0.818,high,0.436,medium,0.495,medium
Koramangala,3,7,1,0,0.258,low,0.0,low,0.313,medium
Electronic City,3,7,1,0,0.764,high,0.661,high,0.521,medium
Indiranagar,3,7,1,0,0.588,medium,0.317,medium,0.66,high
MG Road,3,8,1,1,1.0,high,0.575,medium,0.704,high
Whitefield,3,8,1,1,0.862,high,0.569,medium,0.572,medium
Koramangala,3,8,1,1,0.717,high,0.483,medium,0.459,medium
Electronic City,3,8,1,1,1.0,high,0.793,high,0.582,medium
Indiranagar,3,8,1,1,0.72,high,0.538,medium,0.633,high
MG Road,3,9,1,1,0.83,high,0.606,high,0.59,medium
Whitefield,3,9,1,1,0.832,high,0.492,medium,0.468,medium
Koramangala,3,9,1,1,0.761,high,0.488,medium,0.601,high
Electronic City,3,9,1,1,0.935,high,0.731,high,0.549,medium
Indiranagar,3,9,1,1,0.878,high,0.615,high,0.69,high
MG Road,3,10,1,1,0.845,high,0.449,medium,0.68,high
Whitefield,3,10,1,1,0.687,high,0.428,medium,0.419,medium
Koramangala,3,10,1,1,0.584,medium,0.339,medium,0.461,medium
Electronic City,3,10,1,1,1.0,high,0.604,high,0.517,medium
Indiranagar,3,10,1,1,0.791,high,0.312,medium,0.606,high
MG Road,3,11,1,0,0.875,high,0.714,high,0.563,medium
Whitefield,3,11,1,0,0.5,medium,0.352,medium,0.433,medium
Koramangala,3,11,1,0,0.412,medium,0.318,medium,0.479,medium
Electronic City,3,11,1,0,0.691,high,0.462,medium,0.615,high
Indiranagar,3,11,1,0,0.584,medium,0.282,low,0.442,medium
MG Road,3,12,1,0,0.725,high,0.543,medium,0.5,medium
Whitefield,3,12,1,0,0.622,medium,0.362,medium,0.186,low
Koramangala,3,12,1,0,0.425,medium,0.312,medium,0.422,medium
Electronic City,3,12,1,0,0.696,high,0.409,medium,0.494,medium
Indiranagar,3,12,1,0,0.722,high,0.506,medium,0.606,high
MG Road,3,13,1,0,0.774,high,0.388,medium,0.706,high
Whitefield,3,13,1,0,0.673,high,0.542,medium,0.401,medium
Koramangala,3,13,1,0,0.448,medium,0.403,medium,0.541,medium
Electronic City,3,13,1,0,0.829,high,0.587,medium,0.376,medium
Indiranagar,3,13,1,0,0.612,medium,0.454,medium,0.591,medium
MG Road,3,14,1,0,0.908,high,0.626,high,0.873,high
Whitefield,3,14,1,0,0.459,medium,0.363,medium,0.254,low
Koramangala,3,14,1,0,0.247,low,0.153,low,0.153,low
Electronic City,3,14,1,0,0.737,high,0.519,medium,0.582,medium
Indiranagar,3,14,1,0,0.479,medium,0.426,medium,0.477,medium
MG Road,3,15,1,0,0.882,high,0.574,medium,0.52,medium
Whitefield,3,15,1,0,0.503,medium,0.223,low,0.399,medium
Koramangala,3,15,1,0,0.518,medium,0.306,medium,0.47,medium
Electronic City,3,15,1,0,0.628,medium,0.458,medium,0.493,medium
Indiranagar,3,15,1,0,0.484,medium,0.319,medium,0.54,medium
MG Road,3,16,1,0,0.565,medium,0.529,medium,0.561,medium
Whitefield,3,16,1,0,0.657,high,0.419,medium,0.241,low
Koramangala,3,16,1,0,0.443,medium,0.302,medium,0.38,medium
Electronic City,3,16,1,0,0.837,high,0.662,high,0.702,high
Indiranagar,3,16,1,0,0.612,medium,0.359,medium,0.501,medium
MG Road,3,17,1,1,1.0,high,0.802,high,0.553,medium
Whitefield,3,17,1,1,0.851,high,0.756,high,0.466,medium
Koramangala,3,17,1,1,0.724,high,0.556,medium,0.585,medium
Electronic City,3,17,1,1,0.935,high,0.574,medium,0.551,medium
Indiranagar,3,17,1,1,0.727,high,0.482,medium,0.591,medium
MG Road,3,18,1,1,1.0,high,0.74,high,0.763,high
Whitefield,3,18,1,1,0.943,high,0.564,medium,0.511,medium
Koramangala,3,18,1,1,0.844,high,0.583,medium,0.649,high
Electronic City,3,18,1,1,1.0,high,0.552,medium,0.606,high
Indiranagar,3,18,1,1,0.862,high,0.636,high,0.544,medium
MG Road,3,19,1,1,0.961,high,0.625,high,0.674,high
Whitefield,3,19,1,1,0.945,high,0.843,high,0.668,high
Koramangala,3,19,1,1,0.719,high,0.403,medium,0.447,medium
Electronic City,3,19,1,1,1.0,high,0.637,high,0.633,high
Indiranagar,3,19,1,1,0.908,high,0.689,high,0.741,high
MG Road,3,20,1,1,0.978,high,0.778,high,0.621,high
Whitefield,3,20,1,1,0.775,high,0.596,medium,0.581,medium
Koramangala,3,20,1,1,0.689,high,0.484,medium,0.507,medium
Electronic City,3,20,1,1,1.0,high,0.587,medium,0.451,medium
Indiranagar,3,20,1,1,0.844,high,0.599,medium,0.614,high
